index,Date of birth,Name,Position,Shirt number,Team,pid,0
0,1998-05-07,Ismaila Wafougossani Soro,Midfielder,19.0,Bnei Yehuda,451035.0,
1,1998-02-07,Omer Lako,Midfielder,10.0,Ironi Kiryat Shmona,421755.0,
2,1994-10-21,Tamabi Sages,Midfielder,21.0,Bnei Yehuda,373680.0,
3,1997-03-17,Idan Nachmias,Defender,4.0,Ironi Kiryat Shmona,334794.0,
4,1995-09-20,Matan Baltaksa,Defender,20.0,Bnei Yehuda,327900.0,
5,1992-12-20,Adeniyi Segun James,Midfielder,14.0,Ironi Kiryat Shmona,197070.0,
6,1994-12-16,Dor Jan,Forward,9.0,Bnei Yehuda,186345.0,
7,1994-04-24,Ismail Raiyan,Midfielder,22.0,Ironi Kiryat Shmona,128010.0,
8,1990-10-20,Alban Pnishi,Defender,24.0,Bnei Yehuda,75651.0,
9,1990-07-10,Emilijus Zubas,GK,1.0,Bnei Yehuda,54642.0,
10,1988-11-08,Dan Mori,Defender,3.0,Bnei Yehuda,45918.0,
11,1991-01-21,Mohammad Ghadir,Forward,11.0,Bnei Yehuda,45699.0,
12,1989-02-23,Cillian Sheridan,Forward,18.0,Ironi Kiryat Shmona,18846.0,
13,1987-08-01,Marcus Diniz,Defender,2.0,Ironi Kiryat Shmona,14433.0,
14,1989-11-07,Dziugas Bartkus,GK,29.0,Ironi Kiryat Shmona,12912.0,
15,1998-09-20,Or Dasa,Midfielder,10.0,Hapoel Raanana,444615.0,
16,1998-11-21,Amit Cohen,Defender,24.0,Hapoel Raanana,430404.0,
17,1998-09-11,Ofri Arad,Defender,15.0,Maccabi Haifa,403068.0,
18,1985-12-17,Ben Benjamin,Midfielder,19.0,Hapoel Raanana,402798.0,
19,1998-08-28,Assaf Tzur,GK,22.0,Hapoel Raanana,378384.0,
20,1996-08-25,Neta Lavi,Midfielder,6.0,Maccabi Haifa,340791.0,
21,1995-07-05,Dolev Haziza,Forward,8.0,Maccabi Haifa,336147.0,
22,1990-07-31,Ido Levy,Defender,21.0,Hapoel Raanana,327390.0,
23,1992-02-13,Yuval Ashkenazi,Midfielder,18.0,Maccabi Haifa,296664.0,
24,1995-05-10,Hbshe Ayed,Defender,21.0,Maccabi Haifa,211122.0,
25,1986-03-09,Guy Haimov,GK,55.0,Maccabi Haifa,158682.0,
26,1987-04-22,David Mateos,Defender,44.0,Hapoel Raanana,69885.0,
27,1988-06-16,Ernest Olivier Bienvenu Mabouka Massoussi,Defender,26.0,Maccabi Haifa,68862.0,
28,1991-08-27,Adi Nimni,Defender,5.0,Hapoel Raanana,46218.0,
29,1986-10-26,Avihai Yadin,Midfielder,26.0,Hapoel Raanana,45894.0,
30,1987-06-22,Nikita Rukavytsya,Forward,13.0,Maccabi Haifa,11253.0,
31,2000-06-06,Toruay Sihau ,Midfielder,23.0,Sektzia Nes Ziona,494256.0,
32,1999-08-13,Raz Shlomo,Defender,23.0,Hapoel Tel Aviv,416415.0,
33,1997-08-24,Gavriel Gilad Kanichowsky,Midfielder,36.0,Maccabi Netanya,411501.0,
34,1991-11-15,Muhammad Zvidath,Defender,4.0,Maccabi Netanya,394341.0,
35,1996-05-06,Raz Nachmias,Midfielder,15.0,Sektzia Nes Ziona,365556.0,
36,1996-09-20,Dan Glazer,Midfielder,6.0,Maccabi Tel Aviv,340839.0,
37,1997-10-09,Dolev Azoulay,Defender,20.0,Maccabi Netanya,331500.0,
38,1996-06-29,Yonatan Cohen,Midfielder,24.0,Maccabi Tel Aviv,331212.0,
39,1996-01-06,Idan Cohen,Defender,20.0,Hapoel Tel Aviv,331155.0,
40,1994-02-23,Raz Stain,Forward,9.0,Sektzia Nes Ziona,327774.0,
41,1996-03-11,Omri Glazer,GK,55.0,Sektzia Nes Ziona,286047.0,
42,1995-04-19,Daniel Tenenbaum,GK,19.0,Maccabi Tel Aviv,247035.0,
43,1989-08-21,Jair Amador Silos,Defender,3.0,Maccabi Tel Aviv,243000.0,
44,1993-12-04,Ofir Mizrachi,Forward,8.0,Sektzia Nes Ziona,193548.0,
45,1994-08-10,Nir Lax,Midfielder,15.0,Hapoel Tel Aviv,182136.0,
46,1993-08-29,Yoav Gerafi,GK,1.0,Hapoel Tel Aviv,177846.0,
47,1995-05-17,Dor Peretz,Midfielder,42.0,Maccabi Tel Aviv,168966.0,
48,1991-05-02,André Geraldes,Defender,28.0,Maccabi Tel Aviv,163104.0,
49,1995-01-25,Romaric Presley Etou-Thomaso,Defender,33.0,Sektzia Nes Ziona,157365.0,
50,1992-04-27,Enric Saborit,Defender,4.0,Maccabi Tel Aviv,72465.0,
52,1989-01-09,Ben Turgeman,Defender,3.0,Maccabi Netanya,46551.0,
53,1987-02-02,Dani Amos,GK,82.0,Maccabi Netanya,46443.0,
54,1990-05-24,Itai Ozeri,Midfielder,30.0,Sektzia Nes Ziona,46320.0,
55,1989-01-08,Orel Dgani,Defender,4.0,Hapoel Tel Aviv,46197.0,
56,1988-01-14,Maor Buzaglo,Midfielder,11.0,Hapoel Tel Aviv,45759.0,
57,1992-06-25,Román Golobart,Defender,44.0,Maccabi Netanya,28506.0,
