index,pid,Minutes,Goals,Assists,Attempt on Goal,Key Pass,Accurate Key Passes,On Target,Attempts inside the Box,Attempts outside the Box,Attempts Off Target,Cross,Passes,Accurate Passes,Air Challange,Won Air Challange,Ground Challenges,Won Ground Challenges,Dribbles,Successful Dribbles,Tackles,Successful Tackles,Ball Recoveries,Ball Recoveries in Opponents Half,Ball Recoveries in Own Half,Blocked Attempts on Goal,Lost Ball,Lost Ball own half,Own Goal,Penalty Miss,Yellow Card,Red Card,Fouls,Opponent Fouls,Offside,Appearances,Sub Out,Sub In,Coped Goals,Stops,Clean Net,Threat Denied by Goalkeeper,Goalie Mistake,Penalty Goals,Penalties Coped,Season,Gameweek
0,451035,103,0,0,2,0,0,0,0,0,1,2,59,54,0,0,6,4,0,0,1,1,5,3,2,0,3,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,19/20,1
1,421755,103,0,0,1,0,0,0,0,0,1,0,26,22,0,0,9,6,2,2,2,2,4,1,3,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19/20,1
2,373680,103,0,0,2,1,0,0,1,1,2,0,87,78,5,5,9,8,0,0,7,7,5,0,5,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,19/20,1
3,334794,103,0,0,0,0,0,0,0,0,0,0,36,31,6,5,1,0,0,0,0,0,5,1,4,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19/20,1
4,327900,103,0,0,4,2,1,2,3,1,2,12,65,51,2,1,7,2,1,0,2,2,2,1,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19/20,1
5,197070,103,0,0,0,0,0,0,0,0,0,0,25,18,3,0,10,3,1,0,3,1,3,1,2,1,7,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,19/20,1
6,186345,103,0,0,5,1,0,3,4,1,1,0,22,14,2,1,7,2,1,0,2,2,3,2,1,0,11,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19/20,1
7,128010,103,0,1,0,2,2,0,0,0,0,3,18,13,2,1,12,4,3,0,5,2,2,0,2,0,7,2,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,19/20,1
8,75651,103,1,0,1,0,0,1,1,0,0,0,65,62,3,0,5,4,2,2,2,1,8,1,7,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19/20,1
9,54642,103,0,0,0,0,0,0,0,0,0,0,23,22,1,1,0,0,0,0,0,0,6,0,6,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,19/20,1
10,45918,103,0,0,1,0,0,0,1,0,0,0,77,66,9,3,4,2,0,0,2,2,13,1,12,0,5,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,19/20,1
